"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010811040,1106,1994,3721.56866669655,53.1426277160645,229,326,35,1865,9384,2100,936559.47,399829.385375977,536730.084624023,0.204109594225883,0.141095891594887,15.69,247,0,2,0,2190
1010811090,1111,1994,1245,11,61,113,14,496.054257154465,1957,200,238312.84,93763.27,144549.57,0.181651368737221,0.150458708405495,7.35,314,0,2,1,545
1010811120,1114,1994,260.299994587898,23.4280834197998,65,181,7,625.301421403885,3023,434,350169.66,122871.29,227298.37,0.251819491386414,0.126637548208237,33.59,771,0,1,1,687
1010811170,1119,1994,342.854599406528,16.8776054382324,77,165,12,771.444444444444,2454,237,527104.17,221022.521972656,306081.648027344,0.185387134552002,0.1134133040905,4.33,394,0,2,0,917
1010811200,1122,1994,249.121389389038,11.1437397003174,53,107,9,581,2453,224,287676.31,158596.313476562,129079.996523437,0.212765961885452,0.109422490000725,7.9,560,0,1,1,658
1010811210,1123,1994,459.113922834396,7.88756322860718,45,58,8,366.807092905045,1484,186,159804.16,97134.2163085938,62669.9436914063,0.131513640284538,0.148883372545242,4.68,256,0,1,1,403
1010811300,1132,1994,6605.58036175711,30,163,290,40,1757,7373,931,876036.92,277632.77,598404.15,0.21264660358429,0.10453850030899,7.94,277,0,2,0,1961
1010811330,1135,1994,635,49.6652374267578,154,277,25,1263.50462351387,6756,748,720617.48,194995.02,525622.46,0.160881176590919,0.138184249401093,12.68,268,0,2,0,1498
1010811340,1136,1994,2214.0430316925,17.3421115875244,99,233,17,856.682125603865,2976,330,450680.43,236930.358886719,213750.071113281,0.229908436536789,0.136317402124405,7.41,241,0,2,0,983
1010811390,1141,1994,1352.37378692627,9.10383033752441,56,110,6,495.144065856934,2450,213,286965.14,131119.140625,155845.999375,0.213235288858414,0.139705881476402,5.11,268,0,2,1,544
1010811440,1146,1994,1303,66.8049087524414,356,665,49,3605,14594,1689,1911387.36,637663.14,1273724.22,0.196745559573174,0.118343196809292,7.12,410,0,2,0,4056
1010811450,1147,1994,500.000004291534,24.6778545379639,50,118,8,611,3125,517,465694.35,135180.01,330514.34,0.261248171329498,0.0986937582492828,27.72,730,0,1,1,689
1010811520,1154,1994,821.084592938423,23.603443145752,59,113,8,605.2772128582,3006,223,306893.67,112281.86,194611.81,0.233082711696625,0.120300754904747,30.1,838,0,1,1,665
1010811700,1173,1994,2448.25912733749,17.6411151885986,65,164,14,769,3000,427,417449.01,149767.34,267681.67,0.18129988014698,0.0992018207907677,5.46,344,0,2,1,877
1010811710,1174,1994,1199.99996852875,12.8428440093994,81,129,20,648.056203842163,2826,395,372893.76,109872.07,263021.69,0.13342696428299,0.153089880943298,4.46,241,0,2,1,712
1010811711,1175,1994,1299.99993240833,103,233,670,72,2256,15000,1942,1292051.51635742,756627.43,535424.086357422,0.15409055352211,0.116759330034256,99.99,1100,0,1,1,2518
1010811740,1178,1994,1999.99992418289,48.1348495483398,168,343,46,1661.71805012226,5956,764,779451.21,346518.80065918,432932.40934082,0.230769231915474,0.119599580764771,15.97,243,0,2,1,1898
1010811770,1181,1994,1534,94.5977325439453,288,605,55,3401.66420664207,12000,1705,1786129.52,590008.62,1196120.9,0.154223710298538,0.110307417809963,11.15,262,0,2,0,3871
1010811780,1182,1994,85.0000069141388,4.06772327423096,14,43,4,221.4,891,113,107210.77,59292.8466796875,47917.9233203125,0.304878056049347,0.0772357732057571,1.98,650,0,2,0,246
1010811790,1183,1994,1657.83002984524,63.1190032958984,360,603,77,2978.05516684607,13789,2263,2149904.71,539932.96,1609971.75,0.150890082120895,0.135066404938698,9.16,407,0,2,0,3539
1010811820,1186,1994,2199.91569390402,34.3955917358398,37,225,9,732.703994512558,3148,500,393282.96,148112.09,245170.87,0.291925460100174,0.0621118023991585,63.47,844,0,1,1,805
1010811830,1187,1994,1817.80115273775,13,64,190,14,652.247340425532,2696,273,382733.81,113983.59,268750.22,0.204081639647484,0.125364437699318,4.03,364,0,2,0,686
1010811920,1196,1994,959.999998986721,38.254207611084,116,175,22,1076.00183540583,7671,512,643967.53,224379.139099121,419588.390900879,0.228641167283058,0.126932471990585,11.11,295,0,2,1,1229
1010811931,1198,1994,378.700026869774,18.5823955535889,85,218,15,971,4059,434,467209.64,198088.987731934,269120.652268066,0.214746549725533,0.109677419066429,8.53,630,0,2,0,1085
1010811950,1200,1994,2735.14316239316,18,80,180,18,824,3634,313,390328.31,225119.995117188,165208.314882812,0.19700214266777,0.115631692111492,4.36,436,0,2,0,934
1010811990,1206,1994,1250.00003707409,13.0618457794189,64,150,15,661,2874,215,370333.17,78162.9728131843,292170.197186816,0.222222223877907,0.117969818413258,6.3,590,0,2,0,729
1010812000,1207,1994,232.800007462502,9.93936443328857,49,82,13,550.665735006332,3250,330,298413.96,110899.82,187514.14,0.234710738062859,0.109090909361839,8.01,611,0,1,1,605
1010812010,1208,1994,908.571450233459,5.55433654785156,24,48,9,280,1213,112,168317.95,76646.8505859375,91671.0994140625,0.207547172904015,0.100628927350044,1.93,334,0,2,0,318
1010812011,1209,1994,352.052352547646,5.96699953079224,30,74,9,368,1351,263,230129.06,64250.34,165878.72,0.229064032435417,0.0985221639275551,3.88,275,0,2,0,406
1010812020,1210,1994,420.000008046627,25.9624156951904,83,250,15,959,4585,596,575869.07,149967.72,425901.35,0.224413141608238,0.10516431927681,17.79,295,0,1,1,1065
1010812030,1211,1994,507.899966239929,26.712215423584,102,360,21,1209.42143374366,6428,566,507444.21,248113.303527832,259330.906472168,0.193524643778801,0.101545251905918,6.58,470,0,2,0,1359
1010812100,1218,1994,4348.10129070282,36.8531837463379,142,221,23,1159.49367088608,6453,599,512748.74,250851.860961914,261896.879038086,0.16666667163372,0.139010190963745,11.03,286,0,2,0,1374
1010812160,1225,1994,743,41.1628684997559,174,500,27,1494,10953,763,824906.65,224978.44,599928.21,0.182193398475647,0.126768872141838,10.65,211,0,2,0,1696
1010812191,1227,1994,384.200006008148,40.8440742492676,72,227,18,898,3772,328,468886.05,235966.247558594,232919.802441406,0.263534218072891,0.0909090936183929,59.66,860,0,1,1,979
1010812200,1229,1994,637,74.8595962524414,182,533,28,1617.25725725726,9481,694,791084.4,267170.38,523914.02,0.186192467808723,0.128661081194878,26.76,640,0,1,1,1912
1010812210,1230,1994,948.260101318359,19.4944229125977,51,166,14,735.154716981132,3442,323,497533.92,162131.31,335402.61,0.296875,0.08984375,15.31,675,0,1,1,768
1010812240,1233,1994,305,8.77514457702637,56,82,9,510.110701107011,1932,193,275801.93,138832.03125,136969.89875,0.180555552244186,0.13020832836628,2.15,247,0,2,0,576
